csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
78,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0e22061b1ef643f5afb411b2622dc753,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1206,2dca8492f0a60b187e10568fb48cb65ceac2869cb327824cbc22094e7af7092a,science_hte_campaign_6bf2df144d3d
79,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0e4b42e3c8024b49b2ff1c9719eee901,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1287,36b1c7a327542d523e65058294cd3cb2ab41227788100585129386da36523b01,science_hte_campaign_62bdfe294f99
80,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0e84d1326a724592aeb2a7e95177b8be,ord_dataset-7d8f5fd922d4497d91cb81489b052746,317,4ce005020a16de227df8cc0799f8e53256a4ed64fc3cd53a5e1e0df440872544,science_hte_campaign_8510665e92be
81,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0eb196553d954901b9f5a00f3438e37b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,498,5dacf8a2a0d8853ba542f2a2d66c41968de44dfa6776530792ac4b2bd5100daf,science_hte_campaign_283f403f90e1
82,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0ef094f3fcf645d78457a75beb00319d,ord_dataset-7d8f5fd922d4497d91cb81489b052746,140,01bc2610c70601489d8ef3ce0112611da4daf8b40390140841fe49016ad1c462,science_hte_campaign_c99fb883b4d8
83,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0f19ea39e54242dbafbe902e4a6ba58b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,602,62584d6e913625ad42bb008a50b62a2493087b9d4af5b7f0bac942c0209b923a,science_hte_campaign_3f02a74dbb14
84,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0f2bac2ac9f0477a89f533a5e2c6db1b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,962,be11789ce8a8c917a7aca00a8081eefe5fa0897f4b20e31b0355d70b1050b801,science_hte_campaign_a04d9653a525
85,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0f44522bc65041f48c56a0441a07cc4e,ord_dataset-7d8f5fd922d4497d91cb81489b052746,434,12ecbfbb9c3a51ec532279d9dbf5bf4e77c3ef2ef7927f308d04385e38ed46e5,science_hte_campaign_aeefa100ca4f
86,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0f87067dc6d448bf9e433cc7cecfd38d,ord_dataset-7d8f5fd922d4497d91cb81489b052746,652,e441770f870ef469cc450d98ba97689bdbbdd25e31b34fff598d24db9636eb91,science_hte_campaign_3f02a74dbb14
87,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0f9f87836cb446d8b60b45d24d974b3c,ord_dataset-7d8f5fd922d4497d91cb81489b052746,201,98e85f167cfae0fa3f4b99a142671d4df0a84093ae5b21373e898e1ef0acf7a1,science_hte_campaign_f324e61c5fa2
88,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0fac5d9fd8304e199a819313a8a80346,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1063,6afc9e1bf6a003e0bc3561fc3ca9737bb51577484fb1cf453fbd3d3bb94c8b20,science_hte_campaign_2a3be0de5f5e
